Ejecución,Tiempo_Ordenamiento1 (segundos),Tiempo_Ordenamiento2 (segundos),Tiempo_Ordenamiento3 (segundos),,
1,90.821504,20.32999,11.628864,,
2,90.601226,19.864535,11.390306,,
3,90.424591,19.767471,11.377287,,
4,90.044935,19.801237,11.370057,,
5,90.20209,19.785021,11.37873,,
6,90.994837,19.788257,11.385098,,
7,90.091727,19.757456,11.404124,,
8,90.471369,19.804208,11.371578,,
9,91.94447,20.582837,11.624118,,
10,91.376246,20.756301,12.047506,,
11,90.647959,20.274088,11.467368,,
12,91.000726,20.25846,11.412985,,
13,90.363862,19.896357,11.42936,,
14,90.501626,20.083357,11.425058,,
15,90.443244,19.944729,11.456611,,
,,,,,
,,,,,
PROMEDIO,90.6620274666667,20.0462869333333,11.4779366666667,,*ORDENANDO 100K ELEMENTOS
,,,,,./sh tardo 22 minutos
